participantId,priming_condition,wave,session_id,eval_start,pre_active_m2_ann,post_active_m2_ann
381,risk-seeking,wave3,16,2026-06-08,-0.0513694579969166,-0.0376615637925392
285,risk-seeking,wave2,13,2026-05-24,-0.0492700005282329,-0.0492700005282329
2056,risk-seeking,wave2,13,2026-05-24,-0.0314145496707254,-0.0314145496707254
647,risk-averse,wave2,13,2026-05-24,-0.0054724503709865,-0.0054724503709865
217,risk-seeking,wave2,13,2026-05-23,-0.0109968207577983,-0.0109968207577983
1545,risk-averse,wave2,13,2026-05-23,0.0089039703785073,-0.0225046948150564
1314,risk-seeking,wave2,13,2026-05-23,-0.036658861045801,-0.0648647030601008
2037,risk-averse,wave2,13,2026-05-23,-0.0198300295766169,-0.0198300295766169
726,risk-averse,wave2,13,2026-05-23,0.000295496684179,-0.0049639231320954
2142,risk-seeking,wave2,13,2026-05-23,-0.0712411839548667,-0.0716988727080532
745,risk-seeking,wave2,13,2026-05-23,6.262179680230211e-06,0.0048534013639597
2011,risk-averse,wave2,13,2026-05-23,-0.0327872962484993,-0.0263127365744844
1792,risk-averse,wave2,13,2026-05-23,-0.0884766958058955,-0.0908706706469517
2397,risk-seeking,wave2,13,2026-05-23,-0.0736473077104596,-0.0736473077104596
928,risk-averse,wave2,13,2026-05-23,-0.0360943454089427,-0.0332083768993269
1287,risk-seeking,wave2,13,2026-05-23,-0.078963736849328,-0.0850010452513545
183,risk-seeking,wave2,13,2026-05-23,-0.0128004152098222,-0.0298903684529301
641,risk-seeking,wave2,13,2026-05-23,-0.0262584648305333,-0.017222666902559
2010,risk-seeking,wave2,13,2026-05-23,-0.0177790889124149,-0.0135668484932916
674,risk-averse,wave2,13,2026-05-23,0.0037876345588084,0.0030294156996566
2117,risk-averse,wave2,13,2026-05-23,-0.0158857717224559,-0.0233295800288867
2284,risk-seeking,wave2,13,2026-05-23,-0.0196633140276673,-0.0134332125617803
2143,risk-averse,wave2,13,2026-05-23,-0.0330666004987686,-0.0330666004987686
1566,risk-averse,wave2,13,2026-05-23,0.0022165977452157,0.0099535312206484
2137,risk-seeking,wave2,13,2026-05-23,-0.0077497350572607,-0.0120763379902478
371,risk-averse,wave2,13,2026-05-23,-0.0083357817315025,-0.0071670593409126
956,risk-seeking,wave2,13,2026-05-23,0.0103462859086155,0.0108125136773157
1492,risk-averse,wave2,13,2026-05-23,-0.0343042821519636,-0.0343042821519636
982,risk-seeking,wave2,13,2026-05-23,-0.0851824172432025,-0.0613479137892779
48,risk-seeking,wave2,13,2026-05-23,-0.0548934593971653,-0.0523889192417588
1420,risk-averse,wave2,13,2026-05-23,0.0214396339711301,0.0415020879445732
1813,risk-averse,wave2,13,2026-05-23,-0.0120726245952289,-0.0120726245952289
1546,risk-seeking,wave2,13,2026-05-23,-0.0054307608864247,-0.0071971153462257
114,risk-averse,wave2,13,2026-05-23,0.0124073502129373,0.0141591008237041
330,risk-seeking,wave2,13,2026-05-23,-0.0319525678531834,-0.017678923192106
1671,risk-seeking,wave2,13,2026-05-23,-0.0023661123947476,0.0122564143477116
241,risk-seeking,wave2,13,2026-05-23,-0.0347676101398283,-0.0200313386580891
1296,risk-averse,wave2,13,2026-05-23,0.002483218723036,0.0456385885398448
916,risk-averse,wave2,13,2026-05-23,-0.0287778647097048,-0.0430452491201569
1520,risk-averse,wave2,13,2026-05-23,-0.0204100979318266,-0.0273756612070747
1097,risk-seeking,wave2,13,2026-05-23,-0.0539218366653424,-0.0539218366653424
869,risk-averse,wave2,13,2026-05-23,-0.0013844751292311,-0.0013844751292311
1762,risk-averse,wave2,13,2026-05-23,-0.0388194440649343,-0.0224227792800971
1243,risk-averse,wave2,13,2026-05-23,-0.0697137604009373,-0.0697137604009373
2219,risk-seeking,wave2,13,2026-05-23,0.0197427955556386,0.02138907573478
1772,risk-seeking,wave2,13,2026-05-23,-0.0528198722121805,-0.0528198722121805
2346,risk-seeking,wave2,13,2026-05-23,-0.0125052574836681,0.0026689034787017
1375,risk-seeking,wave2,13,2026-05-23,-0.0135477951022532,-0.0135477951022532
574,risk-averse,wave2,13,2026-05-23,-0.0350140518098303,-0.0268086026068075
1262,risk-seeking,wave2,13,2026-05-23,-0.0660421972395084,-0.0372520599100304
1655,risk-seeking,wave2,13,2026-05-23,-0.0209622364339632,-0.0183058750086593
1941,risk-seeking,wave2,13,2026-05-23,-0.0551252758738923,-0.0643179062265632
754,risk-seeking,wave2,13,2026-05-23,-0.0027169449706073,-0.0027169449706073
1410,risk-seeking,wave2,13,2026-05-23,-0.0062448235899123,0.0311629019811318
1954,risk-seeking,wave2,13,2026-05-23,-0.0111994396116182,-0.0103225454890533
2366,risk-seeking,wave2,13,2026-05-23,-0.0235062011812877,-0.0235062011812877
616,risk-seeking,wave2,13,2026-05-23,-0.0088254988104497,-0.0031661333459723
152,risk-seeking,wave2,13,2026-05-23,-0.054267905849033,-0.0550558205134274
1816,risk-seeking,wave2,13,2026-05-23,0.002756580870652,-0.0105879528250074
1507,risk-averse,wave2,13,2026-05-23,-0.0159154193956846,-0.0206564299435998
1406,risk-averse,wave2,13,2026-05-23,0.0074348925228872,0.0074348925228872
537,risk-averse,wave2,13,2026-05-23,-0.0449162708572871,-0.0493628344457954
831,risk-seeking,wave2,13,2026-05-23,-0.0365108704752953,-0.0365108704752953
546,risk-averse,wave2,13,2026-05-23,-0.0679314466281053,-0.0679314466281053
1442,risk-seeking,wave2,13,2026-05-23,-0.0346111050581343,-0.0346111050581343
1636,risk-averse,wave2,13,2026-05-23,-0.0236904481027047,-0.0607195923208413
2194,risk-averse,wave2,13,2026-05-23,-0.0004114759545072,-0.0004114759545072
1635,risk-averse,wave2,13,2026-05-23,-0.0007773329344887,-0.0008772165951674
344,risk-averse,wave2,13,2026-05-23,-0.0259827015081557,-0.0259827015081557
975,risk-seeking,wave2,13,2026-05-23,-0.0650482982531284,-0.063938096207708
1793,risk-seeking,wave2,13,2026-05-23,-0.0033392990107022,0.0010158275450409
417,risk-averse,wave2,13,2026-05-23,-0.0140961039852116,-0.0119162064420916
750,risk-averse,wave2,13,2026-05-23,-0.012479153847618,-0.0096722055638662
1997,risk-averse,wave2,13,2026-05-23,-0.0475686372063554,-0.0367063726989629
708,risk-seeking,wave2,13,2026-05-23,-0.0335180680753602,-0.0335180680753602
368,risk-averse,wave2,13,2026-05-23,-0.0137778157684424,-0.0137778157684424
1216,risk-averse,wave2,13,2026-05-23,-0.0264674973375593,-0.0200386513193877
1427,risk-averse,wave2,13,2026-05-23,0.0040712551599915,0.0040712551599915
1703,risk-averse,wave2,13,2026-05-23,0.0001438833434004,-0.0383288440716765
277,risk-averse,wave2,13,2026-05-23,-0.0521258926718665,-0.0521258926718665
2390,risk-seeking,wave2,13,2026-05-23,-0.0131356416137678,-0.0369089195138228
2341,risk-seeking,wave2,13,2026-05-23,-0.0642224185342441,-0.0620753832672322
31,risk-averse,wave2,13,2026-05-23,-0.0394771305655966,-0.0394771305655966
